Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Continent,Year
108,Ghana,4.657,0.592,0.896,0.337,0.499,0.029,0.212,Africa,2018
131,Ghana,4.11999989,0.66722482,0.87366474,0.29563773,0.42302629,0.02533637,0.25692394,Africa,2017
124,Ghana,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,Africa,2016
114,Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,Africa,2015
82,Greece,5.287,1.181,1.156,0.999,0.067,0.034,0,Europe,2019
79,Greece,5.358,1.154,1.202,0.879,0.131,0.044,0,Europe,2018
87,Greece,5.22700024,1.28948748,1.23941457,0.8101989,0.09573125,0.04328978,0,Europe,2017
99,Greece,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0,Europe,2016
102,Greece,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,Europe,2015
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.078,0.175,North America,2019
30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.071,0.179,North America,2018
29,Guatemala,6.454,0.87200195,1.25558519,0.54023999,0.53131062,0.07722328,0.28348839,North America,2017
39,Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,North America,2016
43,Guatemala,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,North America,2015
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.086,0.207,Africa,2019
140,Guinea,3.964,0.344,0.792,0.211,0.394,0.094,0.185,Africa,2018
149,Guinea,3.50699997,0.24454993,0.79124469,0.19412914,0.34858751,0.11093762,0.26481509,Africa,2017
151,Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,Africa,2016
150,Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,Africa,2015
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.11,0.419,North America,2019
148,Haiti,3.582,0.315,0.714,0.289,0.025,0.104,0.392,North America,2018
145,Haiti,3.60299993,0.36861026,0.64044982,0.27732113,0.03036986,0.09987215,0.48920378,North America,2017
136,Haiti,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,North America,2016
119,Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,North America,2015
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.078,0.246,Asia,2019
72,Honduras,5.504,0.62,1.205,0.622,0.459,0.074,0.197,Asia,2018
91,Honduras,5.18100023,0.73057312,1.14394498,0.58256948,0.34807986,0.07334545,0.23618887,Asia,2017
104,Honduras,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,Asia,2016
105,Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,Asia,2015
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.287,0.258,Asia,2019
76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.291,0.246,Asia,2018
75,Hong Kong,5.458,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,Asia,2016
72,Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,Asia,2015
71,"Hong Kong S.A.R., China",5.47200012,1.55167484,1.26279092,0.94306242,0.49096864,0.29393375,0.37446579,Asia,2017
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.02,0.081,Europe,2019
69,Hungary,5.62,1.171,1.401,0.732,0.259,0.022,0.061,Europe,2018
75,Hungary,5.32399988,1.28601193,1.34313309,0.68776345,0.17586352,0.03663694,0.07840166,Europe,2017
91,Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,Europe,2016
